userId,cluster
1,2
2,2
3,3
4,0
5,0
6,1
7,1
8,1
9,4
10,4
11,0
12,0
13,1
14,1
15,3
16,2
17,1
18,2
19,2
20,4
21,1
22,0
23,1
24,1
25,1
26,0
27,2
28,1
29,3
30,2
31,2
32,0
33,0
34,1
35,3
36,3
37,3
38,2
39,3
40,2
41,0
42,2
43,4
44,3
45,1
46,2
47,2
48,1
49,1
50,0
51,2
52,1
53,1
54,0
55,3
56,2
57,2
58,2
59,3
60,1
61,1
62,3
63,2
64,2
65,1
66,2
67,0
68,2
69,1
70,4
71,4
72,1
73,1
74,2
75,4
76,3
77,4
78,3
79,1
80,1
81,3
82,1
83,0
84,2
85,4
86,1
87,4
88,3
89,1
90,0
91,1
92,4
93,1
94,1
95,2
96,2
97,1
98,0
99,2
100,2
101,1
102,0
103,0
104,2
105,0
106,2
107,2
108,0
109,0
110,2
111,2
112,1
113,2
114,0
115,1
116,0
117,2
118,1
119,1
120,3
121,0
122,0
123,1
124,2
125,0
126,2
127,3
128,4
129,2
130,3
131,1
132,2
133,0
134,1
135,2
136,0
137,0
138,4
139,1
140,1
141,1
142,0
143,2
144,0
145,2
146,0
147,1
148,4
149,0
150,1
151,2
152,0
153,0
154,4
155,1
156,2
157,1
158,1
159,4
160,2
161,1
162,0
163,0
164,1
165,1
166,2
167,1
168,2
169,2
170,0
171,1
172,0
173,0
174,1
175,4
176,3
177,2
178,3
179,2
180,1
181,2
182,0
183,0
184,2
185,2
186,1
187,0
188,4
189,1
190,1
191,0
192,1
193,3
194,3
195,3
196,1
197,1
198,2
199,3
200,2
201,4
202,2
203,1
204,0
205,1
206,0
207,3
208,1
209,2
210,4
211,2
212,2
213,2
214,1
215,2
216,2
217,1
218,0
219,2
220,2
221,0
222,1
223,2
224,0
225,1
226,2
227,0
228,1
229,2
230,1
231,1
232,2
233,0
234,1
235,2
236,1
237,1
238,0
239,1
240,1
241,1
242,3
243,3
244,4
245,4
246,1
247,1
248,1
249,2
250,0
251,1
252,4
253,0
254,2
255,1
256,1
257,1
258,0
259,0
260,1
261,3
262,1
263,2
264,4
265,1
266,3
267,1
268,0
269,0
270,2
271,0
272,1
273,1
274,2
275,2
276,1
277,1
278,1
279,3
280,2
281,4
282,1
283,1
284,1
285,1
286,2
287,2
288,2
289,0
290,2
291,1
292,1
293,1
294,2
295,2
296,0
297,0
298,2
299,0
300,4
301,2
302,0
303,1
304,1
305,0
306,1
307,2
308,4
309,0
310,2
311,1
312,2
313,3
314,2
315,0
316,3
317,0
318,0
319,1
320,1
321,1
322,3
323,0
324,1
325,0
326,1
327,3
328,4
329,0
330,0
331,0
332,0
333,0
334,4
335,1
336,3
337,1
338,3
339,0
340,1
341,1
342,1
343,2
344,4
345,1
346,0
347,4
348,1
349,0
350,1
351,0
352,1
353,2
354,0
355,1
356,0
357,1
358,4
359,2
360,2
361,1
362,1
363,3
364,1
365,4
366,1
367,1
368,0
369,0
370,0
371,1
372,1
373,0
374,0
375,3
376,1
377,1
378,1
379,1
380,2
381,2
382,2
383,0
384,2
385,1
386,0
387,2
388,4
389,1
390,2
391,2
392,4
393,4
394,3
395,1
396,4
397,1
398,4
399,4
400,0
401,1
402,1
403,0
404,0
405,1
406,4
407,1
408,1
409,2
410,0
411,2
412,3
413,0
414,2
415,0
416,3
417,0
418,3
419,3
420,0
421,3
422,2
423,2
424,0
425,1
426,4
427,3
428,2
429,4
430,3
431,3
432,1
433,4
434,0
435,0
436,2
437,2
438,2
439,0
440,1
441,1
442,4
443,4
444,0
445,0
446,0
447,2
448,2
449,3
450,1
451,0
452,0
453,4
454,0
455,0
456,1
457,2
458,1
459,0
460,1
461,0
462,0
463,1
464,3
465,0
466,1
467,0
468,2
469,0
470,2
471,0
472,1
473,1
474,2
475,1
476,1
477,2
478,2
479,0
480,2
481,2
482,1
483,2
484,4
485,2
486,3
487,1
488,4
489,2
490,0
491,1
492,1
493,2
494,3
495,0
496,3
497,0
498,2
499,2
500,1
501,3
502,1
503,0
504,1
505,1
506,3
507,0
508,1
509,2
510,2
511,2
512,0
513,2
514,2
515,0
516,1
517,4
518,1
519,0
520,1
521,1
522,1
523,1
524,4
525,1
526,0
527,1
528,3
529,1
530,2
531,3
532,1
533,1
534,0
535,0
536,2
537,1
538,1
539,4
540,1
541,0
542,0
543,1
544,3
545,1
546,3
547,4
548,1
549,3
550,1
551,0
552,2
553,1
554,0
555,1
556,4
557,3
558,1
559,1
560,1
561,0
562,0
563,1
564,3
565,3
566,3
567,0
568,0
569,1
570,1
571,1
572,3
573,1
574,0
575,3
576,1
577,1
578,2
579,2
580,1
581,1
582,1
583,2
584,2
585,0
586,4
587,1
588,0
589,2
590,2
591,4
592,2
593,0
594,4
595,1
596,2
597,2
598,3
599,2
600,4
601,1
602,1
603,0
604,1
605,1
606,0
607,1
608,1
609,0
610,2
